"","X","loc","Number","Longitude","Latitude","hs1985","hs1986","hs1987","hs1988","hs1989","hs1990","hs1991","hs1992","hs1993","hs1994","hs1995","hs1996","hs1997","hs1998","hs1999","hs2000","hs2001","hs2002","hs2003","hs2004","hs2005","hs2006","hs2007","hs2008","hs2009","hs2010","hs2011","hs2012","hs2013","hs2014","hs2015","hs2016","hs2017","hs2018","hs2019","hs.means","hs.freqs"
"1",1,"10_26.2_127.333",10,127.333,26.2,0.273603860794581,1.57619563605619,1.28839064344505,1.60659779588781,0.843595441141226,1.50260139338918,1.55739737937216,0.873996534595906,1.58039430110349,1.13459520862962,1.71820845052086,0.686387561526764,0.146599868809851,2.26420981547561,1.04659873267488,0.390000496049923,2.03059685717623,0.61259928052835,1.45420080101381,1.28320034834661,0.978795953164349,0.907398758893978,1.74540555880208,1.16319877988478,1.48059684104832,1.37920056451732,1.09660011777057,0.871802123720258,1.70559742965103,1.4705980569569,0.993807000863559,2.05399843482387,1.94500055015771,1.02260170273426,1.03600318814004,1.2491592990762,24
"2",2,"10_26.645_127.865",10,127.865,26.645,0.716398531020843,1.21520370951168,1.25120076284254,1.54840192757229,0.830801682961047,1.37320507900461,1.52000475419795,0.864405736918501,1.75640862640396,0.981597564007359,1.36360261476386,1.05799806108282,0.196804895051508,2.31641076375864,1.0172078694913,0.718398802098407,2.55320340848279,0.540394379439962,1.31640010790213,1.12279970727167,1.11999787894883,0.789199021235014,1.1444018462283,1.09320284497816,1.3011968234388,1.20359923963332,0.613202403836555,0.986000339457539,1.78400064663675,1.53159836504151,1.05599809760798,1.98000114801988,1.89239841436111,0.834398420596079,1.1331991039201,1.22066410222068,24
"3",3,"106_-28.407_113.719",106,113.719,-28.407,3.32476457432868,0.804800656464202,0.607997094367455,1.70239668399395,2.8187751913255,3.39526648069549,1.34477425923752,1.33446440602868,-0.0256964118239268,1.3904034395774,2.26680592662938,1.36513447326591,1.23916664583445,2.02912819207682,2.5808429099444,2.47840052270592,1.5059941817428,1.75076846607735,0.863566268318009,0.775564342256505,0.714274776188422,1.42682992027095,0.589999986812472,2.35553792178402,1.18640006983231,1.35522567990266,5.11713728144487,2.40420991715748,2.10802826606772,1.54680112265149,1.25396973024716,0.82206046456428,1.07716616719327,1.38033138767255,0.193097991390856,1.63098254246363,26
"4",4,"106_-28.435_113.743",106,113.743,-28.435,3.33607753769581,0.844160027492333,0.582318517253314,1.70319822608737,2.77248632586749,3.40776313321527,1.38040565890199,1.33087922191328,-0.0365601419021222,1.41712158467256,2.25504694305311,1.36375856928451,1.24167690947849,2.01855170772139,2.57616843645152,2.51056076172158,1.50527564988347,1.73744359870774,0.900557036772311,0.770478270072246,0.715280219366248,1.43319823212234,0.573602976638424,2.33704213871178,1.18480161291542,1.37807391697033,5.11160277876084,2.39127998901397,2.12095700940739,1.5112018948691,1.26808192352707,0.831995834686252,1.07887913110054,1.39135799008217,0.192715555828449,1.6324982622384,26
"5",5,"106_-28.473_113.776",106,113.776,-28.473,3.3317893534978,0.878782888838745,0.552198733085996,1.70098306271555,2.71860534113472,3.44638630454559,1.42440566067929,1.32157278888794,-0.0113909711145699,1.49578432276763,2.23663770361076,1.35139094116324,1.25179592037143,2.00578407691618,2.65177366873347,2.53819313405612,1.48379543231448,1.69919652843801,0.968606113329167,0.75219728178987,0.690769369405506,1.43138949254932,0.540415825762424,2.25201177447765,1.17920161361714,1.42199369804136,5.06960432373721,2.35219869285286,2.12140685836797,1.46099392893931,1.26782150112674,0.841988637449142,1.06120765376531,1.40020861103663,0.173038384452175,1.63036396146692,26
"6",6,"106_-28.48_113.784",106,113.784,-28.48,3.33221738025743,0.887238942642607,0.546978673234458,1.70179919020752,2.7082254981398,3.45458217928154,1.42820546798505,1.3281969798933,-0.00897887845571998,1.5138003535858,2.23358587214841,1.35143931762916,1.25881617288701,2.00983254929044,2.67018557465524,2.54402135427432,1.48463584124273,1.68866477216693,0.980858421787021,0.752397378125664,0.691042130643162,1.43421761587706,0.541460360479174,2.23148414364311,1.17740161378964,1.43585416645351,5.05520413114112,2.35143929527742,2.11861895089207,1.45242214939795,1.26004578350041,0.844016664118755,1.05899987973149,1.39802080030134,0.171619284204952,1.63110142886943,26
"7",7,"106_-28.499_113.746",106,113.746,-28.499,3.3012136668416,0.902216711590245,0.517182388524697,1.68282956661265,2.77422255173273,3.48584818771135,1.51078989156271,1.31923121439528,-0.00441682651698309,1.5576011251344,2.30383707617581,1.34999996982515,1.22981323163183,1.92479320503031,2.76303523653767,2.5748332126358,1.43759649523115,1.74060536157033,0.981398243549121,0.72979892220379,0.745788750515429,1.41081390242025,0.564449987524611,2.25398832835159,1.19640161291391,1.39177918813036,5.07678701225139,2.3790038043079,2.093998120215,1.46501766202902,1.30180257537949,0.793811408396742,1.05241545342419,1.39419919734066,0.163967306121993,1.63904724975149,26
"8",8,"106_-28.65_113.88",106,113.88,-28.65,3.24149856487952,1.00649929505797,0.585000453377397,1.70649867694415,2.54750149508397,3.64549944484936,1.578505480936,1.49449688917937,-0.0854959344984211,1.75950053151409,2.22300535714998,1.34900093660215,1.40049619662973,1.83599811763602,2.9485007137155,2.63600324447161,1.46099919493869,1.4130047922072,1.03199823777294,0.686998128889766,0.765999482577086,1.31499929038515,0.48850511660094,1.93549928872161,1.18299785069088,1.49250140207053,4.83250152176494,2.25199801615459,2.05299763689563,1.23100238188436,1.19000412695235,0.777997179521023,1.12850133744337,1.46849737064209,0.186499021787495,1.62188602404083,28
"9",9,"106_-28.699_113.78",106,113.78,-28.699,3.15995640607894,1.1055228528546,0.654599895027088,1.62627535494833,2.59988430189007,3.50867357473748,1.73308519733188,1.41987604094742,-0.0363987477545292,1.77372099544307,2.29308161120222,1.39380083791411,1.34951618687949,1.64279445685032,2.95820166501566,2.65619907156134,1.42347729229882,1.5182856748384,0.996199108665229,0.637677984249157,0.860803165009047,1.29732589651238,0.562801628215559,2.02288557321824,1.21424053154735,1.47619909793639,4.9469259442427,2.21607929774185,2.04247805019024,1.27140314883207,1.31016378233282,0.754924007782828,1.18388067658535,1.41399688148602,0.255683109854508,1.6355491586419,27
"10",10,"106_-28.716_113.789",106,113.789,-28.716,3.151987915986,1.13410709781419,0.680199894797457,1.6234911095749,2.56530005778697,3.50268932919817,1.72910095306375,1.44089179544563,-0.0501987474969672,1.76670524050308,2.27929736662067,1.39540083799705,1.37550043112054,1.62299445640769,2.93240166542951,2.6545990714784,1.4306930470546,1.47330143097452,0.994599108582289,0.639693739124548,0.857003165395817,1.27403136667945,0.562601628399776,2.00350132912474,1.21948779691039,1.47459909785345,4.94271018983702,2.20769505285647,2.0478938050473,1.23860314946681,1.29959529307803,0.737308253266275,1.19409643169122,1.42119688108092,0.263898865245876,1.63105651735419,27
