"","Name.long","Name.lat","layer","BO_ph","BO_calcite","BO2_salinitymean_ss"
"1",127.333,26.2,8.23700046539307,8.23700046539307,9.10000017029233e-05,34.507999420166
"2",127.865,26.645,8.24199962615967,8.24199962615967,0.000213000006624497,34.4957580566406
"3",113.719,-28.407,8.31900024414062,8.31900024414062,0.000770999991800636,35.339900970459
"4",113.743,-28.435,8.31799983978271,8.31799983978271,0.00420199986547232,35.3424110412598
"5",113.776,-28.473,8.31900024414062,8.31900024414062,0.00237399991601706,35.3511695861816
"6",113.784,-28.48,8.31900024414062,8.31900024414062,0.00237399991601706,35.3511695861816
"7",113.746,-28.499,8.31799983978271,8.31799983978271,0.00420199986547232,35.3424110412598
"8",113.88,-28.65,8.31799983978271,8.31799983978271,0.000459000002592802,35.3388328552246
"9",113.78,-28.699,8.31700038909912,8.31700038909912,0.00566199980676174,35.3219261169434
"10",113.789,-28.716,8.31700038909912,8.31700038909912,0.00566199980676174,35.3219261169434
"11",113.789,-28.737,8.31700038909912,8.31700038909912,0.00566199980676174,35.3219261169434
"12",113.809,-28.74,8.31700038909912,8.31700038909912,0.00566199980676174,35.3219261169434
"13",113.948,-28.815,8.31799983978271,8.31799983978271,0.000262999994447455,35.3372116088867
"14",113.988,-28.862,8.31700038909912,8.31700038909912,0.00285000004805624,35.3334693908691
"15",113.97,-28.867,8.31700038909912,8.31700038909912,0.00285000004805624,35.3334693908691
"16",113.877,-28.869,8.31700038909912,8.31700038909912,0.0121710002422333,35.3240928649902
"17",113.923,-28.898,8.31700038909912,8.31700038909912,0.00285000004805624,35.3334693908691
"18",122.158,-0.244,8.1560001373291,8.1560001373291,7.79999973019585e-05,32.4138031005859
"19",40.15,-10.25,8.20400047302246,8.20400047302246,0.0223900005221367,34.3453025817871
"20",40.85,-2.3,8.19999980926514,8.19999980926514,0.0181930009275675,34.5775909423828
"21",40.07,-3.32,NA,NA,NA,NA
"22",39.73,-4.02,8.21100044250488,8.21100044250488,0.000222000002395362,34.7680511474609
"23",39.6,-4.28,8.21199989318848,8.21199989318848,0.000155000001541339,34.8102035522461
"24",39.35,-4.72,8.21500015258789,8.21500015258789,0.00136400002520531,34.756908416748
"25",39.6,-5.23,8.21300029754639,8.21300029754639,0.000584000023081899,34.8161659240723
"26",39.18,-6.12,8.21700000762939,8.21700000762939,0.00656800018623471,34.449649810791
"27",39.53,-6.25,8.21399974822998,8.21399974822998,0.0386379994452,34.4908905029297
"28",39.22,-6.63,8.21599960327148,8.21599960327148,0.00815100036561489,34.1311836242676
"29",39.77,-7.95,8.20899963378906,8.20899963378906,0.00367900007404387,33.7382850646973
"30",122.7308,-10.838,8.20600032806396,8.20600032806396,0.000155000001541339,33.6790199279785
"31",122.9871,-12.2378,8.21300029754639,8.21300029754639,0.0160349998623133,33.953296661377
"32",119.3243,-5.0474,8.18099975585938,8.18099975585938,0.00121100002434105,32.803092956543
"33",123.5178,-5.2675,NA,NA,NA,NA
"34",124.4009,-8.2679,8.18400001525879,8.18400001525879,0.000538000022061169,33.1511497497559
"35",121.89,-14.04,8.22399997711182,8.22399997711182,0.00990100018680096,34.4071044921875
"36",119.17,-17.33,8.24899959564209,8.24899959564209,5.7000001106644e-05,34.768383026123
"37",145.4594,-14.6689,8.41199970245361,8.41199970245361,0.000844000023789704,34.9300308227539
"38",125.3498,24.7994,8.22299957275391,8.22299957275391,0.00161399994976819,34.4873313903809
"39",128.0413,26.506,8.24300003051758,8.24300003051758,0.000127999999676831,34.5126914978027
"40",129.5555,28.3319,8.24899959564209,8.24899959564209,8.19999986561015e-05,34.5296783447266
"41",130.5762,30.4321,8.2480001449585,8.2480001449585,6.6000000515487e-05,34.227424621582
"42",131.2833,31.3501,8.26500034332275,8.26500034332275,0.000337000004947186,34.1365623474121
"43",132.3874,31.4776,8.26599979400635,8.26599979400635,9.20000020414591e-05,34.3961181640625
"44",129.9999,32.5545,8.22999954223633,8.22999954223633,0.000592999975197017,33.369743347168
"45",128.8991,32.5654,8.20400047302246,8.20400047302246,0.000163999997312203,33.9853172302246
"46",128.8345,32.5989,8.20100021362305,8.20100021362305,0.000247999996645376,33.9534568786621
"47",132.8607,32.7637,8.25500011444092,8.25500011444092,0.000169999999343418,34.1621513366699
"48",135.7408,33.4743,8.27200031280518,8.27200031280518,0.00031699999817647,34.2351264953613
"49",135.3365,33.6833,8.26500034332275,8.26500034332275,0.000574000005144626,33.9753875732422
"50",139.2007,34.3601,8.26099967956543,8.26099967956543,0.00012599999899976,34.2240219116211
"51",143.0345,-11.4411,8.30500030517578,8.30500030517578,0.00596099998801947,34.9012908935547
"52",143.5812,-13.1698,8.35099983215332,8.35099983215332,0.00450399983674288,34.9705047607422
"53",143.6404,-13.7789,8.36400032043457,8.36400032043457,0.00976699963212013,34.9877395629883
"54",145.662,-15.6134,8.42599964141846,8.42599964141846,0.00290700001642108,34.9474334716797
"55",146.2707,-16.9955,8.44400024414062,8.44400024414062,0.00110300001688302,35.0372352600098
"56",146.1722,-17.0239,8.44400024414062,8.44400024414062,0.0264079999178648,35.0742454528809
"57",147.3834,-18.2657,8.45600032806396,8.45600032806396,0.00127200002316386,35.0095748901367
"58",146.4994,-18.5639,8.45400047302246,8.45400047302246,0.00238800002261996,35.2268905639648
"59",146.492,-18.57,8.45400047302246,8.45400047302246,0.00238800002261996,35.2268905639648
"60",146.5117,-18.6604,8.45499992370605,8.45499992370605,0.00130100001115352,35.2354011535645
"61",146.8501,-19.1686,8.45899963378906,8.45899963378906,0.0131379999220371,35.2077178955078
