,Name.long,Name.lat,BO2_tempmean_ss,BO2_ppmean_ss
117,73.253573,-0.641801,29.29506302,0.002066324
118,146.512358,-18.611719,25.75047112,0.019327182
119,112.924534,-22.879493,25.27224731,0.002315711
120,151.924438,-23.44245,24.17632294,0.007587162
121,55.427308,-4.709637,28.06129074,0.008754985
122,150.503504,-5.311634,29.7793026,0.01174059
123,127.863494,26.286821,25.10617828,0.005759671
124,168.800474,7.305951,28.80641365,0.005254503
125,168.800475,7.305951,28.80641365,0.005254503
126,168.800476,7.305951,28.80641365,0.005254503
127,168.800477,7.305951,28.80641365,0.005254503
128,168.800478,7.305951,28.80641365,0.005254503
129,-61.45222,12.61194,28.0033989,0.004944035
130,-61.27472,12.99528,28.00652695,0.003454525
131,-61.24972,13.01222,28.0087471,0.003165314
132,-61.19444,13.12583,28.01109505,0.002914422
133,-61.20806,13.12667,28.01109505,0.002914422
134,-61.24833,13.29944,NA,NA
135,-61.07444,13.86083,NA,NA
136,-60.96806,14.09194,27.97449684,0.00166246
137,-61.08889,14.49111,27.97556686,0.001652594
138,-61.08056,14.54444,27.93172836,0.001447038
139,-61.13917,14.6375,27.91872025,0.001500622
140,-61.22528,14.84083,27.87623787,0.001418265
141,-61.57083,15.88333,27.890728,0.001068506
142,-61.77056,16.08778,27.94775391,0.001079001
143,-61.79,16.16667,27.95065689,0.001054421
144,-61.10472,16.17667,27.78746986,0.000836262
145,-61.48889,16.2,27.8227005,0.000930492
146,-61.18056,16.25,27.78964615,0.000861887
147,-61.34167,16.33472,27.78771973,0.00087676
148,-61.5725,16.35444,27.83229065,0.000906396
149,-61.59222,16.35972,27.86783409,0.000938843
150,-61.76389,16.38167,27.89915085,0.001008371
151,-61.40361,16.39389,27.78771973,0.00087676
152,-61.49722,16.48639,27.80103111,0.000884017
153,-61.76028,16.99778,27.74650955,0.000914923
154,-61.91389,17.08139,27.71726227,0.000938702
155,-61.89194,17.12944,27.70669746,0.000882297
156,-63.22639,17.61778,27.81771851,0.000869522
157,-62.79972,17.91278,27.65516472,0.000812401
158,-62.81778,17.91389,27.65516472,0.000812401
159,-62.83194,17.93944,27.65151596,0.000803638
160,-63.11917,18.07333,27.67791939,0.000802616
161,-62.98083,18.10944,27.63451195,0.000818634
162,-62.9725,18.12583,27.63451195,0.000818634
163,-61.77972,18.14139,27.58255577,0.000685261
164,123.97,24.3,26.25842476,0.005205266
165,-69.00139,12.18611,27.54232407,0.003106009
166,-61.18139,16.25083,27.77710724,0.000840555
167,-61.59361,16.36,27.86783409,0.000938843
168,-61.53444,16.42639,27.8322525,0.000904744
169,-61.495,16.48778,27.80103111,0.000884017
170,-66.50972,17.90139,27.97874641,0.00068653
171,-67.10667,17.91778,28.05516243,0.000675874
172,-67.09389,17.93139,28.05516243,0.000675874
173,-67.01917,17.93611,28.04881668,0.000678353
174,-67.04333,17.93889,28.04881668,0.000678353
175,-67.06222,17.94,28.04881668,0.000678353
176,-66.86861,17.94056,28.01070404,0.000678709
177,-67.08667,17.94389,28.05516243,0.000675874
178,-67.04667,17.95306,28.04881668,0.000678353
179,-67.86806,18.05667,27.95876694,0.000642392
180,-65.46528,18.08889,27.79097366,0.000836626
181,-67.93972,18.09139,27.92012596,0.000602432
182,-65.39972,18.10861,27.78124237,0.000840014
183,-65.39861,18.10889,27.78124237,0.000840014
184,-65.29,18.28278,27.73996735,0.000848995
185,-65.32528,18.31806,27.73996735,0.000848995
186,-65.25194,18.31917,27.73996735,0.000848995
187,-67.26333,18.34639,27.97609138,0.000623633
188,-65.5675,18.37556,27.71950531,0.000745071
189,-65.58417,18.38139,27.70749283,0.000688553
190,-65.99639,18.46222,27.68694687,0.000455677
191,-66.09139,18.46806,27.68375206,0.000391975
192,-66.41444,18.49083,27.69594765,0.000357762
193,-67.09944,18.51611,27.87338448,0.000582108
194,-76.0875,23.76139,27.03475952,0.000204735
195,55.719157,-21.40041,25.80441284,0.000812268
196,35.50417,-21.80667,26.11758232,0.02069502
197,32.87694,-26.03167,24.28507042,0.016823366
198,32.85222,-27.07889,24.69880486,0.013489938
199,32.80736,-27.19817,24.69364357,0.014383854
200,32.772361,-27.291519,24.69255257,0.01467508
201,32.68833,-27.52472,24.6747036,0.014388998
202,32.64194,-27.7325,24.6425705,0.015485113
203,32.59889,-27.9125,24.57987976,0.017622504
204,134.21833,7.0111,29.21928215,0.002034441
205,134.3181,7.0556,29.223423,0.002029093
206,134.26157,7.0796,29.223423,0.002029093
207,134.36692,7.1113,29.22169685,0.002015064
208,134.41277,7.1633,29.22169685,0.002015064
209,134.22093,7.2523,29.20373917,0.002073117
